code_2010,name_2010,code_2015,name_2015,weight_2015,relation
8077,専門学校授業料,8077,専修学校授業料（私立）,14,renamed
8080,公立幼稚園保育料,8080,幼稚園保育料（公立）,3,renamed
8090,私立幼稚園保育料,8090,幼稚園保育料（私立）,27,renamed
8100,学習参考教材,8100,学習参考教材,4,1:1
8110,教科書,8110,教科書,4,1:1
8201,補習教育（中学校）,8201,補習教育（中学校）,40,1:1
8203,補習教育（小学校）,8203,補習教育（小学校）,25,1:1
8204,補習教育（高校・予備校）,8204,補習教育（高校・予備校）,28,1:1
9013,テレビ,9013,テレビ,15,1:1
9033,携帯型オーディオプレーヤー,9033,携帯型オーディオプレーヤー,1,1:1
9034,ビデオレコーダー,9034,ビデオレコーダー,4,1:1
9042,ビデオカメラ,9042,ビデオカメラ,2,1:1
9043,カメラ,9043,カメラ,4,1:1
9051,ピアノ,9051,ピアノ,5,1:1
9061,学習机,9061,学習用机,3,renamed
9078,パソコン（デスクトップ型）,9078,パソコン（デスクトップ型）,8,1:1
9079,パソコン（ノート型）,9079,パソコン（ノート型）,14,1:1
9081,プリンタ,9081,プリンタ,2,1:1
9082,電子辞書,9082,電子辞書,1,1:1
9111,ボールペン,9111,ボールペン,5,1:1
9115,マーキングペン,,,0,abolished
9121,ノートブック,9121,ノートブック,12,1:1
9124,セロハン粘着テープ,,,0,abolished
9125,筆入れ,,,0,abolished
9127,ＯＡ用紙,,,0,abolished
9128,プリンタ用インク,9128,プリンタ用インク,7,1:1
,,9129,はさみ,5,new
,,9140,競技用靴,9,new
9141,グローブ,9141,グローブ,1,1:1
9142,ゴルフクラブ,9142,ゴルフクラブ,8,1:1
9143,テニスラケット,9143,テニスラケット,2,1:1
9144,釣ざお,9144,釣ざお,11,1:1
9145,トレーニングパンツ,9145,トレーニングパンツ,15,1:1
9149,水着,9149,水着,6,1:1
9151,人形,9151,人形,3,1:1
9152,がん具自動車,9152,玩具自動車,5,renamed
9153,組立がん具,9153,組立玩具,8,renamed
9154,家庭用ゲーム機（据置型）,9154,家庭用ゲーム機（据置型）,1,1:1
